title,budget,gross,mpaa,running_time,genre,year
Pennies from Heaven,22000000,9171289.0,R,"108.0,",Drama,1981
The Legend of the Lone Ranger,18000000,12617845.0,PG,"98.0,",Action,1981
Sphinx,14000000,2022771.0,PG,"118.0,",Adventure,1981
Night School,0,1169875.0,R,"88.0,",Horror,1981
Zoot Suit,2700000,3256082.0,R,"103.0,",Drama,1981
Rich and Famous,0,14492125.0,R,"117.0,",Drama,1981
Buddy Buddy,10000000,7258543.0,R,"96.0,",Comedy,1981
Bustin' Loose,11000000,31261269.0,R,"94.0,",Comedy,1981
Modern Romance,0,2863642.0,R,"93.0,",Comedy,1981
Heartbeeps,12000000,2154696.0,PG,"78.0,",Comedy,1981
Back Roads,0,11809387.0,R,"94.0,",Adventure,1981
Take This Job and Shove It,3500000,17569027.0,PG,"100.0,",Comedy,1981
Raggedy Man,0,1976198.0,R,"94.0,",Drama,1981
Whose Life Is It Anyway?,13000000,8206145.0,R,"119.0,",Comedy,1981
Inchon,46000000,5200986.0,PG,"140.0,",Drama,1981
All Night Long,14000000,4454295.0,R,"87.0,",Comedy,1981
The Pursuit of D.B. Cooper,12000000,3702028.0,PG,"100.0,",Adventure,1981
Rollover,16000000,10851261.0,R,"116.0,",Drama,1981
Only When I Laugh,0,25524778.0,R,"120.0,",Comedy,1981
Honky Tonk Freeway,24000000,2004742.0,PG,"107.0,",Action,1981
Paternity,0,18838812.0,PG,"94.0,",Comedy,1981
King of the Mountain,2000000,1791147.0,PG,"90.0,",Action,1981
The Devil and Max Devlin,0,16000000.0,PG,"96.0,",Comedy,1981
The Amateur,0,6892098.0,R,"112.0,",Crime,1981
Comin' at Ya!,0,12000000.0,R,"91.0,",Western,1981
Le Pont du Nord,0,17110.0,Not Rated,"129.0,",Adventure,1981
Silence of the North,0,1622898.0,PG,"94.0,",Drama,1981
Fast Times at Ridgemont High,4500000,27092880.0,R,"90.0,",Comedy,1982
Blade Runner,28000000,41676878.0,R,"117.0,",Action,1982
The Thing,15000000,19632053.0,R,"109.0,",Horror,1982
Conan the Barbarian,20000000,68851475.0,R,"129.0,",Action,1982
E.T. the Extra-Terrestrial,10500000,792910554.0,PG,"115.0,",Family,1982
First Blood,15000000,125212904.0,R,"93.0,",Action,1982
An Officer and a Gentleman,7500000,129795554.0,R,"124.0,",Drama,1982
Grease 2,13200000,15171476.0,PG,"115.0,",Comedy,1982
Annie,50000000,57063861.0,PG,"127.0,",Comedy,1982
Poltergeist,10700000,77142388.0,PG,"114.0,",Horror,1982
